[ 2023-03-20 21:03:00,200 ] 23 root - INFO - Entered the data ingestion method or component
[ 2023-03-20 21:03:01,641 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-03-20 21:03:01,703 ] 33 root - INFO - Train test split initiated
[ 2023-03-20 21:03:01,766 ] 43 root - INFO - Inmgestion of the data iss completed
[ 2023-03-20 21:03:01,766 ] 27 root - INFO - Entered the data cleaning method or component
[ 2023-03-20 21:03:01,791 ] 32 root - INFO - Read the dataset as dataframe
[ 2023-03-20 21:03:01,803 ] 39 root - INFO - processingthe training dataset as dataframe
[ 2023-03-20 21:03:02,192 ] 80 root - INFO - processingthe test dataset as dataframe
[ 2023-03-20 21:03:02,193 ] 94 root - INFO - ended the loop
[ 2023-03-20 21:03:02,205 ] 109 root - INFO - ended he loop
[ 2023-03-20 21:03:02,205 ] 111 root - INFO - returning done
[ 2023-03-20 21:03:02,205 ] 114 root - INFO - directory created
[ 2023-03-20 21:03:02,251 ] 118 root - INFO - df1 saved
[ 2023-03-20 21:03:02,263 ] 120 root - INFO - df2 saved
[ 2023-03-20 21:03:02,263 ] 122 root - INFO - Train test data cleaned
[ 2023-03-20 21:03:02,283 ] 87 root - INFO - Read train and test data completed
[ 2023-03-20 21:03:02,283 ] 89 root - INFO - Obtaining preprocessing object
[ 2023-03-20 21:03:02,284 ] 59 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination', 'Total_Stops']
[ 2023-03-20 21:03:02,284 ] 60 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration-mins', 'duration-hours']
[ 2023-03-20 21:03:02,284 ] 72 root - INFO - Train test split initiated
[ 2023-03-20 21:03:02,286 ] 99 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-03-20 21:03:02,332 ] 105 root - INFO - Saved preprocessing object.
