[ 2023-05-03 00:14:37,700 ] 25 root - INFO - Entered the data ingestion method or component
[ 2023-05-03 00:14:39,141 ] 28 root - INFO - Read the dataset as dataframe
[ 2023-05-03 00:14:39,191 ] 35 root - INFO - Train test split initiated
[ 2023-05-03 00:14:39,243 ] 45 root - INFO - Inmgestion of the data iss completed
[ 2023-05-03 00:14:39,243 ] 27 root - INFO - Entered the data cleaning method or component
[ 2023-05-03 00:14:39,266 ] 32 root - INFO - Read the dataset as dataframe
[ 2023-05-03 00:14:39,278 ] 39 root - INFO - processingthe training dataset as dataframe
[ 2023-05-03 00:14:39,667 ] 82 root - INFO - processingthe test dataset as dataframe
[ 2023-05-03 00:14:39,668 ] 96 root - INFO - ended the loop
[ 2023-05-03 00:14:39,678 ] 111 root - INFO - ended he loop
[ 2023-05-03 00:14:39,678 ] 113 root - INFO - returning done
[ 2023-05-03 00:14:39,678 ] 116 root - INFO - directory created
[ 2023-05-03 00:14:39,715 ] 120 root - INFO - df1 saved
[ 2023-05-03 00:14:39,724 ] 122 root - INFO - df2 saved
[ 2023-05-03 00:14:39,725 ] 124 root - INFO - Train test data cleaned
[ 2023-05-03 00:14:39,740 ] 87 root - INFO - Read train and test data completed
[ 2023-05-03 00:14:39,740 ] 89 root - INFO - Obtaining preprocessing object
[ 2023-05-03 00:14:39,740 ] 59 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination']
[ 2023-05-03 00:14:39,740 ] 60 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration_mins', 'duration_hours', 'Total_Stops']
[ 2023-05-03 00:14:39,740 ] 72 root - INFO - Train test split initiated
[ 2023-05-03 00:14:39,742 ] 99 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-05-03 00:14:39,782 ] 105 root - INFO - Saved preprocessing object.
[ 2023-05-03 00:14:39,788 ] 33 root - INFO - Split training and test input data
