[ 2023-03-20 02:14:51,453 ] 23 root - INFO - Entered the data ingestion method or component
[ 2023-03-20 02:14:52,874 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-03-20 02:14:52,936 ] 33 root - INFO - Train test split initiated
[ 2023-03-20 02:14:53,000 ] 43 root - INFO - Inmgestion of the data iss completed
[ 2023-03-20 02:14:53,001 ] 27 root - INFO - Entered the data cleaning method or component
[ 2023-03-20 02:14:53,026 ] 32 root - INFO - Read the dataset as dataframe
[ 2023-03-20 02:14:53,038 ] 39 root - INFO - processingthe training dataset as dataframe
[ 2023-03-20 02:14:53,439 ] 80 root - INFO - processingthe test dataset as dataframe
[ 2023-03-20 02:14:53,440 ] 94 root - INFO - ended the loop
[ 2023-03-20 02:14:53,457 ] 109 root - INFO - ended he loop
[ 2023-03-20 02:14:53,457 ] 111 root - INFO - returning done
[ 2023-03-20 02:14:53,458 ] 114 root - INFO - directory created
[ 2023-03-20 02:14:53,501 ] 118 root - INFO - df1 saved
[ 2023-03-20 02:14:53,513 ] 120 root - INFO - df2 saved
[ 2023-03-20 02:14:53,513 ] 122 root - INFO - Train test data cleaned
