[ 2023-03-20 02:18:29,518 ] 23 root - INFO - Entered the data ingestion method or component
[ 2023-03-20 02:18:30,956 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-03-20 02:18:31,018 ] 33 root - INFO - Train test split initiated
[ 2023-03-20 02:18:31,081 ] 43 root - INFO - Inmgestion of the data iss completed
[ 2023-03-20 02:18:31,082 ] 27 root - INFO - Entered the data cleaning method or component
[ 2023-03-20 02:18:31,106 ] 32 root - INFO - Read the dataset as dataframe
[ 2023-03-20 02:18:31,118 ] 39 root - INFO - processingthe training dataset as dataframe
[ 2023-03-20 02:18:31,517 ] 80 root - INFO - processingthe test dataset as dataframe
[ 2023-03-20 02:18:31,518 ] 94 root - INFO - ended the loop
[ 2023-03-20 02:18:31,532 ] 109 root - INFO - ended he loop
[ 2023-03-20 02:18:31,532 ] 111 root - INFO - returning done
[ 2023-03-20 02:18:31,532 ] 114 root - INFO - directory created
[ 2023-03-20 02:18:31,576 ] 118 root - INFO - df1 saved
[ 2023-03-20 02:18:31,587 ] 120 root - INFO - df2 saved
[ 2023-03-20 02:18:31,587 ] 122 root - INFO - Train test data cleaned
[ 2023-03-20 02:18:31,605 ] 87 root - INFO - Read train and test data completed
[ 2023-03-20 02:18:31,605 ] 89 root - INFO - Obtaining preprocessing object
[ 2023-03-20 02:18:31,605 ] 59 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination', 'Total_Stops']
[ 2023-03-20 02:18:31,606 ] 60 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration-mins', 'duration-hours']
[ 2023-03-20 02:18:31,606 ] 72 root - INFO - Train test split initiated
[ 2023-03-20 02:18:31,607 ] 99 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-03-20 02:18:31,653 ] 105 root - INFO - Saved preprocessing object.
