[ 2023-03-20 21:13:51,763 ] 23 root - INFO - Entered the data ingestion method or component
[ 2023-03-20 21:13:53,228 ] 26 root - INFO - Read the dataset as dataframe
[ 2023-03-20 21:13:53,290 ] 33 root - INFO - Train test split initiated
[ 2023-03-20 21:13:53,354 ] 43 root - INFO - Inmgestion of the data iss completed
[ 2023-03-20 21:13:53,354 ] 27 root - INFO - Entered the data cleaning method or component
[ 2023-03-20 21:13:53,379 ] 32 root - INFO - Read the dataset as dataframe
[ 2023-03-20 21:13:53,391 ] 39 root - INFO - processingthe training dataset as dataframe
[ 2023-03-20 21:13:53,780 ] 80 root - INFO - processingthe test dataset as dataframe
[ 2023-03-20 21:13:53,781 ] 94 root - INFO - ended the loop
[ 2023-03-20 21:13:53,792 ] 109 root - INFO - ended he loop
[ 2023-03-20 21:13:53,793 ] 111 root - INFO - returning done
[ 2023-03-20 21:13:53,793 ] 114 root - INFO - directory created
[ 2023-03-20 21:13:53,837 ] 118 root - INFO - df1 saved
[ 2023-03-20 21:13:53,848 ] 120 root - INFO - df2 saved
[ 2023-03-20 21:13:53,848 ] 122 root - INFO - Train test data cleaned
[ 2023-03-20 21:13:53,866 ] 87 root - INFO - Read train and test data completed
[ 2023-03-20 21:13:53,866 ] 89 root - INFO - Obtaining preprocessing object
[ 2023-03-20 21:13:53,866 ] 59 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination', 'Total_Stops']
[ 2023-03-20 21:13:53,866 ] 60 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration-mins', 'duration-hours']
[ 2023-03-20 21:13:53,866 ] 72 root - INFO - Train test split initiated
[ 2023-03-20 21:13:53,868 ] 99 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-03-20 21:13:53,913 ] 105 root - INFO - Saved preprocessing object.
