[ 2023-05-03 00:18:46,365 ] 25 root - INFO - Entered the data ingestion method or component
[ 2023-05-03 00:18:47,794 ] 28 root - INFO - Read the dataset as dataframe
[ 2023-05-03 00:18:47,844 ] 35 root - INFO - Train test split initiated
[ 2023-05-03 00:18:47,896 ] 45 root - INFO - Inmgestion of the data iss completed
[ 2023-05-03 00:18:47,896 ] 27 root - INFO - Entered the data cleaning method or component
[ 2023-05-03 00:18:47,921 ] 32 root - INFO - Read the dataset as dataframe
[ 2023-05-03 00:18:47,933 ] 39 root - INFO - processingthe training dataset as dataframe
[ 2023-05-03 00:18:48,309 ] 82 root - INFO - processingthe test dataset as dataframe
[ 2023-05-03 00:18:48,310 ] 96 root - INFO - ended the loop
[ 2023-05-03 00:18:48,320 ] 111 root - INFO - ended he loop
[ 2023-05-03 00:18:48,320 ] 113 root - INFO - returning done
[ 2023-05-03 00:18:48,321 ] 116 root - INFO - directory created
[ 2023-05-03 00:18:48,358 ] 120 root - INFO - df1 saved
[ 2023-05-03 00:18:48,367 ] 122 root - INFO - df2 saved
[ 2023-05-03 00:18:48,368 ] 124 root - INFO - Train test data cleaned
[ 2023-05-03 00:18:48,385 ] 87 root - INFO - Read train and test data completed
[ 2023-05-03 00:18:48,386 ] 89 root - INFO - Obtaining preprocessing object
[ 2023-05-03 00:18:48,386 ] 59 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination']
[ 2023-05-03 00:18:48,386 ] 60 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration_mins', 'duration_hours', 'Total_Stops']
[ 2023-05-03 00:18:48,386 ] 72 root - INFO - Train test split initiated
[ 2023-05-03 00:18:48,388 ] 99 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-05-03 00:18:48,428 ] 105 root - INFO - Saved preprocessing object.
[ 2023-05-03 00:18:48,434 ] 33 root - INFO - Split training and test input data
